X ,Y ,Z ,AO ,Res ,A ,B ,M ,N 
   52.0000,    0.0000,  -15.7500,   31.5000,  1.500132,    31, 10000,    17,     3,
   53.5000,    0.0000,  -16.8750,   33.7500,  0.312981,    31, 10000,    16,     1,
   31.0000,    0.0000,   -1.1250,    2.2500, 14.996901,    32, 10000,    31,    30,
   32.5000,    0.0000,   -2.2500,    4.5000,  2.245464,    32, 10000,    30,    28,
   34.0000,    0.0000,   -3.3750,    6.7500,  1.495586,    32, 10000,    29,    26,
   35.5000,    0.0000,   -4.5000,    9.0000,  1.920872,    32, 10000,    28,    24,
   37.0000,    0.0000,   -5.6250,   11.2500,  5.066230,    32, 10000,    27,    22,
   38.5000,    0.0000,   -6.7500,   13.5000,  4.347349,    32, 10000,    26,    20,
   40.0000,    0.0000,   -7.8750,   15.7500,  3.684591,    32, 10000,    25,    18,
   41.5000,    0.0000,   -9.0000,   18.0000,  1.597124,    32, 10000,    24,    16,
   43.0000,    0.0000,  -10.1250,   20.2500,  1.921051,    32, 10000,    23,    14,
   44.5000,    0.0000,  -11.2500,   22.5000,  0.984003,    32, 10000,    22,    12,
   46.0000,    0.0000,  -12.3750,   24.7500,  2.727822,    32, 10000,    21,    10,
   47.5000,    0.0000,  -13.5000,   27.0000,  2.893384,    32, 10000,    20,     8,
   49.0000,    0.0000,  -14.6250,   29.2500,  2.730463,    32, 10000,    19,     6,
   50.5000,    0.0000,  -15.7500,   31.5000,  2.082814,    32, 10000,    18,     4,
   52.0000,    0.0000,  -16.8750,   33.7500,  1.788401,    32, 10000,    17,     2,
   29.5000,    0.0000,   -1.1250,    2.2500, 36.445724,    33, 10000,    32,    31,
   31.0000,    0.0000,   -2.2500,    4.5000, 11.202560,    33, 10000,    31,    29,
   32.5000,    0.0000,   -3.3750,    6.7500,  0.029987,    33, 10000,    30,    27,
   34.0000,    0.0000,   -4.5000,    9.0000,  2.037718,    33, 10000,    29,    25,
   35.5000,    0.0000,   -5.6250,   11.2500,  1.198643,    33, 10000,    28,    23,
   37.0000,    0.0000,   -6.7500,   13.5000,  5.660954,    33, 10000,    27,    21,
   38.5000,    0.0000,   -7.8750,   15.7500,  4.959252,    33, 10000,    26,    19,
   40.0000,    0.0000,   -9.0000,   18.0000,  5.130009,    33, 10000,    25,    17,
   41.5000,    0.0000,  -10.1250,   20.2500,  2.269010,    33, 10000,    24,    15,
   43.0000,    0.0000,  -11.2500,   22.5000,  3.586067,    33, 10000,    23,    13,
   44.5000,    0.0000,  -12.3750,   24.7500,  0.986412,    33, 10000,    22,    11,
   46.0000,    0.0000,  -13.5000,   27.0000,  4.356349,    33, 10000,    21,     9,
   47.5000,    0.0000,  -14.6250,   29.2500,  4.577140,    33, 10000,    20,     7,
   49.0000,    0.0000,  -15.7500,   31.5000,  5.573514,    33, 10000,    19,     5,
   50.5000,    0.0000,  -16.8750,   33.7500,  2.775356,    33, 10000,    18,     3,
   52.0000,    0.0000,  -18.0000,   36.0000,  1.386811,    33, 10000,    17,     1,
   28.0000,    0.0000,   -1.1250,    2.2500,153.251984,    34, 10000,    33,    32,
   29.5000,    0.0000,   -2.2500,    4.5000, 14.342024,    34, 10000,    32,    30,
   31.0000,    0.0000,   -3.3750,    6.7500,  8.537799,    34, 10000,    31,    28,
   32.5000,    0.0000,   -4.5000,    9.0000,  0.470857,    34, 10000,    30,    26,
   34.0000,    0.0000,   -5.6250,   11.2500,  0.032068,    34, 10000,    29,    24,
   35.5000,    0.0000,   -6.7500,   13.5000,  2.411457,    34, 10000,    28,    22,
   37.0000,    0.0000,   -7.8750,   15.7500,  5.345223,    34, 10000,    27,    20,
   38.5000,    0.0000,   -9.0000,   18.0000,  6.361132,    34, 10000,    26,    18,
   40.0000,    0.0000,  -10.1250,   20.2500,  5.626824,    34, 10000,    25,    16,
   41.5000,    0.0000,  -11.2500,   22.5000,  2.004221,    34, 10000,    24,    14,
   43.0000,    0.0000,  -12.3750,   24.7500,  3.019356,    34, 10000,    23,    12,
   44.5000,    0.0000,  -13.5000,   27.0000,  1.143067,    34, 10000,    22,    10,
   46.0000,    0.0000,  -14.6250,   29.2500,  4.156283,    34, 10000,    21,     8,
   47.5000,    0.0000,  -15.7500,   31.5000,  4.420854,    34, 10000,    20,     6,
   49.0000,    0.0000,  -16.8750,   33.7500,  5.107001,    34, 10000,    19,     4,
   50.5000,    0.0000,  -18.0000,   36.0000,  2.941720,    34, 10000,    18,     2,
   26.5000,    0.0000,   -1.1250,    2.2500, 29.036024,    35, 10000,    34,    33,
   28.0000,    0.0000,   -2.2500,    4.5000, 18.628475,    35, 10000,    33,    31,
   29.5000,    0.0000,   -3.3750,    6.7500,  5.261634,    35, 10000,    32,    29,
   31.0000,    0.0000,   -4.5000,    9.0000,  4.508790,    35, 10000,    31,    27,
   32.5000,    0.0000,   -5.6250,   11.2500,  0.239163,    35, 10000,    30,    25,
   34.0000,    0.0000,   -6.7500,   13.5000,  2.180780,    35, 10000,    29,    23,
   35.5000,    0.0000,   -7.8750,   15.7500,  0.856924,    35, 10000,    28,    21,
   37.0000,    0.0000,   -9.0000,   18.0000,  1.045158,    35, 10000,    27,    19,
   38.5000,    0.0000,  -10.1250,   20.2500,  5.544941,    35, 10000,    26,    17,
   40.0000,    0.0000,  -11.2500,   22.5000,  4.502408,    35, 10000,    25,    15,
   41.5000,    0.0000,  -12.3750,   24.7500,  2.097109,    35, 10000,    24,    13,
   43.0000,    0.0000,  -13.5000,   27.0000,  3.530553,    35, 10000,    23,    11,
   44.5000,    0.0000,  -14.6250,   29.2500,  1.444820,    35, 10000,    22,     9,
   46.0000,    0.0000,  -15.7500,   31.5000,  4.389088,    35, 10000,    21,     7,
   47.5000,    0.0000,  -16.8750,   33.7500,  3.877672,    35, 10000,    20,     5,
   49.0000,    0.0000,  -18.0000,   36.0000, 10.296772,    35, 10000,    19,     3,
   50.5000,    0.0000,  -19.1250,   38.2500,  3.467986,    35, 10000,    18,     1,
   25.0000,    0.0000,   -1.1250,    2.2500, 19.155243,    36, 10000,    35,    34,
   26.5000,    0.0000,   -2.2500,    4.5000,  6.578875,    36, 10000,    34,    32,
   28.0000,    0.0000,   -3.3750,    6.7500,  6.908202,    36, 10000,    33,    30,
   29.5000,    0.0000,   -4.5000,    9.0000,  4.304601,    36, 10000,    32,    28,
   31.0000,    0.0000,   -5.6250,   11.2500,  6.811245,    36, 10000,    31,    26,
   32.5000,    0.0000,   -6.7500,   13.5000,  3.695757,    36, 10000,    30,    24,
   34.0000,    0.0000,   -7.8750,   15.7500,  0.296909,    36, 10000,    29,    22,
   35.5000,    0.0000,   -9.0000,   18.0000,  0.524550,    36, 10000,    28,    20,
   37.0000,    0.0000,  -10.1250,   20.2500,  7.777635,    36, 10000,    27,    18,
   38.5000,    0.0000,  -11.2500,   22.5000,  9.596065,    36, 10000,    26,    16,
   40.0000,    0.0000,  -12.3750,   24.7500,  5.648325,    36, 10000,    25,    14,
   41.5000,    0.0000,  -13.5000,   27.0000,  2.350433,    36, 10000,    24,    12,
   43.0000,    0.0000,  -14.6250,   29.2500,  2.803539,    36, 10000,    23,    10,
   44.5000,    0.0000,  -15.7500,   31.5000,  1.165053,    36, 10000,    22,     8,
   46.0000,    0.0000,  -16.8750,   33.7500,  4.712648,    36, 10000,    21,     6,
   47.5000,    0.0000,  -18.0000,   36.0000,  5.555425,    36, 10000,    20,     4,
   49.0000,    0.0000,  -19.1250,   38.2500,  5.031068,    36, 10000,    19,     2,
   23.5000,    0.0000,   -1.1250,    2.2500, 30.817219,    37, 10000,    36,    35,
   25.0000,    0.0000,   -2.2500,    4.5000,  6.999192,    37, 10000,    35,    33,
   26.5000,    0.0000,   -3.3750,    6.7500,  0.425727,    37, 10000,    34,    31,
