X ,Y ,Z ,AO ,Res ,A ,B ,M ,N 
   52.0000,    0.0000,  -15.7500,   31.5000, 21.797562,    31, 10000,    17,     3,
   53.5000,    0.0000,  -16.8750,   33.7500, 23.247000,    31, 10000,    16,     1,
   31.0000,    0.0000,   -1.1250,    2.2500, 99.852074,    32, 10000,    31,    30,
   32.5000,    0.0000,   -2.2500,    4.5000, 21.850620,    32, 10000,    30,    28,
   34.0000,    0.0000,   -3.3750,    6.7500, 11.494802,    32, 10000,    29,    26,
   38.5000,    0.0000,   -6.7500,   13.5000,  9.019295,    32, 10000,    26,    20,
   43.0000,    0.0000,  -10.1250,   20.2500, 18.690388,    32, 10000,    23,    14,
   44.5000,    0.0000,  -11.2500,   22.5000, 16.400892,    32, 10000,    22,    12,
   46.0000,    0.0000,  -12.3750,   24.7500, 16.746241,    32, 10000,    21,    10,
   47.5000,    0.0000,  -13.5000,   27.0000, 22.500219,    32, 10000,    20,     8,
   49.0000,    0.0000,  -14.6250,   29.2500, 22.340324,    32, 10000,    19,     6,
   50.5000,    0.0000,  -15.7500,   31.5000, 20.860336,    32, 10000,    18,     4,
   52.0000,    0.0000,  -16.8750,   33.7500, 22.238091,    32, 10000,    17,     2,
   29.5000,    0.0000,   -1.1250,    2.2500,138.942596,    33, 10000,    32,    31,
   31.0000,    0.0000,   -2.2500,    4.5000, 75.647011,    33, 10000,    31,    29,
   35.5000,    0.0000,   -5.6250,   11.2500,  9.425542,    33, 10000,    28,    23,
   38.5000,    0.0000,   -7.8750,   15.7500,  9.888678,    33, 10000,    26,    19,
   43.0000,    0.0000,  -11.2500,   22.5000, 19.260845,    33, 10000,    23,    13,
   44.5000,    0.0000,  -12.3750,   24.7500, 15.724042,    33, 10000,    22,    11,
   46.0000,    0.0000,  -13.5000,   27.0000, 16.368504,    33, 10000,    21,     9,
   47.5000,    0.0000,  -14.6250,   29.2500, 20.364115,    33, 10000,    20,     7,
   49.0000,    0.0000,  -15.7500,   31.5000, 20.280943,    33, 10000,    19,     5,
   50.5000,    0.0000,  -16.8750,   33.7500, 18.472597,    33, 10000,    18,     3,
   52.0000,    0.0000,  -18.0000,   36.0000, 19.526199,    33, 10000,    17,     1,
   28.0000,    0.0000,   -1.1250,    2.2500, 27.419910,    34, 10000,    33,    32,
   29.5000,    0.0000,   -2.2500,    4.5000, 26.480539,    34, 10000,    32,    30,
   31.0000,    0.0000,   -3.3750,    6.7500, 19.203716,    34, 10000,    31,    28,
   32.5000,    0.0000,   -4.5000,    9.0000, 12.125540,    34, 10000,    30,    26,
   35.5000,    0.0000,   -6.7500,   13.5000, 11.579832,    34, 10000,    28,    22,
   38.5000,    0.0000,   -9.0000,   18.0000, 13.768943,    34, 10000,    26,    18,
   43.0000,    0.0000,  -12.3750,   24.7500, 20.621668,    34, 10000,    23,    12,
   44.5000,    0.0000,  -13.5000,   27.0000, 18.781937,    34, 10000,    22,    10,
   46.0000,    0.0000,  -14.6250,   29.2500, 19.876110,    34, 10000,    21,     8,
   47.5000,    0.0000,  -15.7500,   31.5000, 24.524246,    34, 10000,    20,     6,
   49.0000,    0.0000,  -16.8750,   33.7500, 23.967825,    34, 10000,    19,     4,
   50.5000,    0.0000,  -18.0000,   36.0000, 22.160471,    34, 10000,    18,     2,
   26.5000,    0.0000,   -1.1250,    2.2500, 24.315620,    35, 10000,    34,    33,
   28.0000,    0.0000,   -2.2500,    4.5000,  9.242652,    35, 10000,    33,    31,
   29.5000,    0.0000,   -3.3750,    6.7500, 15.221906,    35, 10000,    32,    29,
   34.0000,    0.0000,   -6.7500,   13.5000,  8.653457,    35, 10000,    29,    23,
   35.5000,    0.0000,   -7.8750,   15.7500, 12.348470,    35, 10000,    28,    21,
   38.5000,    0.0000,  -10.1250,   20.2500, 13.511435,    35, 10000,    26,    17,
   43.0000,    0.0000,  -13.5000,   27.0000, 20.475863,    35, 10000,    23,    11,
   44.5000,    0.0000,  -14.6250,   29.2500, 19.305182,    35, 10000,    22,     9,
   46.0000,    0.0000,  -15.7500,   31.5000, 19.984615,    35, 10000,    21,     7,
   47.5000,    0.0000,  -16.8750,   33.7500, 24.592459,    35, 10000,    20,     5,
   49.0000,    0.0000,  -18.0000,   36.0000, 23.574934,    35, 10000,    19,     3,
