X ,Y ,Z ,AO ,Res ,A ,B ,M ,N 
   47.5000,    0.0000,   -2.2500,    4.5000,  9.056073,    22, 10000,    20,    18,
   49.0000,    0.0000,   -3.3750,    6.7500,  9.322998,    22, 10000,    19,    16,
   50.5000,    0.0000,   -4.5000,    9.0000, 13.800352,    22, 10000,    18,    14,
   52.0000,    0.0000,   -5.6250,   11.2500, 10.839911,    22, 10000,    17,    12,
   53.5000,    0.0000,   -6.7500,   13.5000, 13.023069,    22, 10000,    16,    10,
   55.0000,    0.0000,   -7.8750,   15.7500, 15.155169,    22, 10000,    15,     8,
   56.5000,    0.0000,   -9.0000,   18.0000, 13.981650,    22, 10000,    14,     6,
   58.0000,    0.0000,  -10.1250,   20.2500, 15.803014,    22, 10000,    13,     4,
   59.5000,    0.0000,  -11.2500,   22.5000, 16.416100,    22, 10000,    12,     2,
   44.5000,    0.0000,   -1.1250,    2.2500,116.738403,    23, 10000,    22,    21,
   46.0000,    0.0000,   -2.2500,    4.5000, 15.955495,    23, 10000,    21,    19,
   47.5000,    0.0000,   -3.3750,    6.7500, 12.335624,    23, 10000,    20,    17,
   49.0000,    0.0000,   -4.5000,    9.0000, 10.552578,    23, 10000,    19,    15,
   50.5000,    0.0000,   -5.6250,   11.2500, 15.309400,    23, 10000,    18,    13,
   52.0000,    0.0000,   -6.7500,   13.5000, 11.207963,    23, 10000,    17,    11,
   53.5000,    0.0000,   -7.8750,   15.7500, 14.659050,    23, 10000,    16,     9,
   55.0000,    0.0000,   -9.0000,   18.0000, 16.409941,    23, 10000,    15,     7,
   56.5000,    0.0000,  -10.1250,   20.2500, 15.374847,    23, 10000,    14,     5,
   58.0000,    0.0000,  -11.2500,   22.5000, 17.424801,    23, 10000,    13,     3,
   59.5000,    0.0000,  -12.3750,   24.7500, 17.271942,    23, 10000,    12,     1,
   43.0000,    0.0000,   -1.1250,    2.2500, 71.977539,    24, 10000,    23,    22,
   44.5000,    0.0000,   -2.2500,    4.5000, 21.071756,    24, 10000,    22,    20,
   46.0000,    0.0000,   -3.3750,    6.7500, 11.057869,    24, 10000,    21,    18,
   47.5000,    0.0000,   -4.5000,    9.0000, 13.968960,    24, 10000,    20,    16,
   49.0000,    0.0000,   -5.6250,   11.2500, 15.086736,    24, 10000,    19,    14,
   50.5000,    0.0000,   -6.7500,   13.5000, 18.237835,    24, 10000,    18,    12,
   52.0000,    0.0000,   -7.8750,   15.7500, 13.665202,    24, 10000,    17,    10,
   53.5000,    0.0000,   -9.0000,   18.0000, 17.825434,    24, 10000,    16,     8,
   55.0000,    0.0000,  -10.1250,   20.2500, 19.192911,    24, 10000,    15,     6,
   56.5000,    0.0000,  -11.2500,   22.5000, 17.818907,    24, 10000,    14,     4,
   58.0000,    0.0000,  -12.3750,   24.7500, 20.003225,    24, 10000,    13,     2,
   41.5000,    0.0000,   -1.1250,    2.2500, 31.637814,    25, 10000,    24,    23,
   43.0000,    0.0000,   -2.2500,    4.5000, 27.627439,    25, 10000,    23,    21,
   44.5000,    0.0000,   -3.3750,    6.7500, 14.166905,    25, 10000,    22,    19,
   46.0000,    0.0000,   -4.5000,    9.0000, 12.487450,    25, 10000,    21,    17,
   47.5000,    0.0000,   -5.6250,   11.2500, 13.541353,    25, 10000,    20,    15,
   49.0000,    0.0000,   -6.7500,   13.5000, 14.281196,    25, 10000,    19,    13,
   50.5000,    0.0000,   -7.8750,   15.7500, 16.387306,    25, 10000,    18,    11,
   52.0000,    0.0000,   -9.0000,   18.0000, 13.357573,    25, 10000,    17,     9,
   53.5000,    0.0000,  -10.1250,   20.2500, 16.608559,    25, 10000,    16,     7,
   55.0000,    0.0000,  -11.2500,   22.5000, 18.029716,    25, 10000,    15,     5,
   56.5000,    0.0000,  -12.3750,   24.7500, 16.886913,    25, 10000,    14,     3,
   58.0000,    0.0000,  -13.5000,   27.0000, 18.114597,    25, 10000,    13,     1,
   40.0000,    0.0000,   -1.1250,    2.2500,100.691284,    26, 10000,    25,    24,
   41.5000,    0.0000,   -2.2500,    4.5000, 18.399984,    26, 10000,    24,    22,
   43.0000,    0.0000,   -3.3750,    6.7500, 16.170925,    26, 10000,    23,    20,
   44.5000,    0.0000,   -4.5000,    9.0000, 11.927318,    26, 10000,    22,    18,
   46.0000,    0.0000,   -5.6250,   11.2500, 11.694839,    26, 10000,    21,    16,
   47.5000,    0.0000,   -6.7500,   13.5000, 14.777488,    26, 10000,    20,    14,
   49.0000,    0.0000,   -7.8750,   15.7500, 14.713195,    26, 10000,    19,    12,
   50.5000,    0.0000,   -9.0000,   18.0000, 15.961054,    26, 10000,    18,    10,
   52.0000,    0.0000,  -10.1250,   20.2500, 13.723155,    26, 10000,    17,     8,
   53.5000,    0.0000,  -11.2500,   22.5000, 16.251585,    26, 10000,    16,     6,
   55.0000,    0.0000,  -12.3750,   24.7500, 17.482876,    26, 10000,    15,     4,
   56.5000,    0.0000,  -13.5000,   27.0000, 16.473682,    26, 10000,    14,     2,
   38.5000,    0.0000,   -1.1250,    2.2500,142.187759,    27, 10000,    26,    25,
   40.0000,    0.0000,   -2.2500,    4.5000, 45.468285,    27, 10000,    25,    23,
   41.5000,    0.0000,   -3.3750,    6.7500, 18.231173,    27, 10000,    24,    21,
   43.0000,    0.0000,   -4.5000,    9.0000, 17.512337,    27, 10000,    23,    19,
   44.5000,    0.0000,   -5.6250,   11.2500, 16.511305,    27, 10000,    22,    17,
   46.0000,    0.0000,   -6.7500,   13.5000, 14.066921,    27, 10000,    21,    15,
   47.5000,    0.0000,   -7.8750,   15.7500, 17.481350,    27, 10000,    20,    13,
   49.0000,    0.0000,   -9.0000,   18.0000, 16.765785,    27, 10000,    19,    11,
   50.5000,    0.0000,  -10.1250,   20.2500, 18.895256,    27, 10000,    18,     9,
   52.0000,    0.0000,  -11.2500,   22.5000, 15.944547,    27, 10000,    17,     7,
   53.5000,    0.0000,  -12.3750,   24.7500, 18.454773,    27, 10000,    16,     5,
   55.0000,    0.0000,  -13.5000,   27.0000, 20.405355,    27, 10000,    15,     3,
   56.5000,    0.0000,  -14.6250,   29.2500, 18.547167,    27, 10000,    14,     1,
   37.0000,    0.0000,   -1.1250,    2.2500,118.711540,    28, 10000,    27,    26,
   38.5000,    0.0000,   -2.2500,    4.5000, 47.452267,    28, 10000,    26,    24,
   40.0000,    0.0000,   -3.3750,    6.7500, 19.744379,    28, 10000,    25,    22,
   41.5000,    0.0000,   -4.5000,    9.0000, 14.588566,    28, 10000,    24,    20,
   43.0000,    0.0000,   -5.6250,   11.2500, 14.931079,    28, 10000,    23,    18,
   44.5000,    0.0000,   -6.7500,   13.5000, 14.266047,    28, 10000,    22,    16,
   46.0000,    0.0000,   -7.8750,   15.7500, 14.202920,    28, 10000,    21,    14,
   47.5000,    0.0000,   -9.0000,   18.0000, 16.458813,    28, 10000,    20,    12,
   49.0000,    0.0000,  -10.1250,   20.2500, 15.226013,    28, 10000,    19,    10,
   50.5000,    0.0000,  -11.2500,   22.5000, 17.740326,    28, 10000,    18,     8,
   52.0000,    0.0000,  -12.3750,   24.7500, 14.758959,    28, 10000,    17,     6,
   53.5000,    0.0000,  -13.5000,   27.0000, 17.249346,    28, 10000,    16,     4,
   55.0000,    0.0000,  -14.6250,   29.2500, 18.549500,    28, 10000,    15,     2,
   35.5000,    0.0000,   -1.1250,    2.2500,  5.064822,    29, 10000,    28,    27,
   37.0000,    0.0000,   -2.2500,    4.5000,  7.486229,    29, 10000,    27,    25,
   38.5000,    0.0000,   -3.3750,    6.7500,  6.245779,    29, 10000,    26,    23,
   40.0000,    0.0000,   -4.5000,    9.0000,  9.276165,    29, 10000,    25,    21,
   41.5000,    0.0000,   -5.6250,   11.2500, 11.610279,    29, 10000,    24,    19,
   43.0000,    0.0000,   -6.7500,   13.5000, 13.215036,    29, 10000,    23,    17,
   44.5000,    0.0000,   -7.8750,   15.7500, 11.761465,    29, 10000,    22,    15,
   46.0000,    0.0000,   -9.0000,   18.0000, 11.845448,    29, 10000,    21,    13,
   47.5000,    0.0000,  -10.1250,   20.2500, 13.530107,    29, 10000,    20,    11,
   49.0000,    0.0000,  -11.2500,   22.5000, 13.465247,    29, 10000,    19,     9,
   50.5000,    0.0000,  -12.3750,   24.7500, 15.066747,    29, 10000,    18,     7,
   52.0000,    0.0000,  -13.5000,   27.0000, 13.154030,    29, 10000,    17,     5,
   53.5000,    0.0000,  -14.6250,   29.2500, 15.159569,    29, 10000,    16,     3,
   55.0000,    0.0000,  -15.7500,   31.5000, 15.776895,    29, 10000,    15,     1,
   34.0000,    0.0000,   -1.1250,    2.2500, 43.920773,    30, 10000,    29,    28,
   35.5000,    0.0000,   -2.2500,    4.5000,  7.572742,    30, 10000,    28,    26,
   37.0000,    0.0000,   -3.3750,    6.7500,  8.951245,    30, 10000,    27,    24,
   38.5000,    0.0000,   -4.5000,    9.0000,  9.403181,    30, 10000,    26,    22,
   40.0000,    0.0000,   -5.6250,   11.2500, 11.997198,    30, 10000,    25,    20,
   41.5000,    0.0000,   -6.7500,   13.5000, 15.314292,    30, 10000,    24,    18,
   43.0000,    0.0000,   -7.8750,   15.7500, 16.546177,    30, 10000,    23,    16,
   44.5000,    0.0000,   -9.0000,   18.0000, 16.365997,    30, 10000,    22,    14,
   46.0000,    0.0000,  -10.1250,   20.2500, 15.613301,    30, 10000,    21,    12,
   47.5000,    0.0000,  -11.2500,   22.5000, 17.149260,    30, 10000,    20,    10,
   49.0000,    0.0000,  -12.3750,   24.7500, 17.431784,    30, 10000,    19,     8,
   50.5000,    0.0000,  -13.5000,   27.0000, 18.965401,    30, 10000,    18,     6,
   52.0000,    0.0000,  -14.6250,   29.2500, 16.357576,    30, 10000,    17,     4,
   53.5000,    0.0000,  -15.7500,   31.5000, 19.039347,    30, 10000,    16,     2,
   32.5000,    0.0000,   -1.1250,    2.2500, 68.278557,    31, 10000,    30,    29,
   34.0000,    0.0000,   -2.2500,    4.5000, 15.912200,    31, 10000,    29,    27,
   35.5000,    0.0000,   -3.3750,    6.7500,  7.179541,    31, 10000,    28,    25,
   37.0000,    0.0000,   -4.5000,    9.0000, 10.585816,    31, 10000,    27,    23,
   38.5000,    0.0000,   -5.6250,   11.2500, 11.960289,    31, 10000,    26,    21,
   40.0000,    0.0000,   -6.7500,   13.5000, 14.746548,    31, 10000,    25,    19,
   41.5000,    0.0000,   -7.8750,   15.7500, 19.856180,    31, 10000,    24,    17,
   43.0000,    0.0000,   -9.0000,   18.0000, 18.786198,    31, 10000,    23,    15,
   44.5000,    0.0000,  -10.1250,   20.2500, 18.356270,    31, 10000,    22,    13,
   46.0000,    0.0000,  -11.2500,   22.5000, 16.875547,    31, 10000,    21,    11,
   47.5000,    0.0000,  -12.3750,   24.7500, 19.495768,    31, 10000,    20,     9,
   49.0000,    0.0000,  -13.5000,   27.0000, 19.514767,    31, 10000,    19,     7,
   50.5000,    0.0000,  -14.6250,   29.2500, 21.124311,    31, 10000,    18,     5,
   52.0000,    0.0000,  -15.7500,   31.5000, 18.469631,    31, 10000,    17,     3,
   53.5000,    0.0000,  -16.8750,   33.7500, 20.837542,    31, 10000,    16,     1,
   31.0000,    0.0000,   -1.1250,    2.2500, 55.403835,    32, 10000,    31,    30,
   32.5000,    0.0000,   -2.2500,    4.5000, 30.301914,    32, 10000,    30,    28,
   34.0000,    0.0000,   -3.3750,    6.7500, 10.550735,    32, 10000,    29,    26,
   35.5000,    0.0000,   -4.5000,    9.0000,  6.170448,    32, 10000,    28,    24,
   37.0000,    0.0000,   -5.6250,   11.2500, 12.792454,    32, 10000,    27,    22,
   38.5000,    0.0000,   -6.7500,   13.5000, 12.125490,    32, 10000,    26,    20,
   40.0000,    0.0000,   -7.8750,   15.7500, 15.782242,    32, 10000,    25,    18,
   41.5000,    0.0000,   -9.0000,   18.0000, 20.459049,    32, 10000,    24,    16,
   43.0000,    0.0000,  -10.1250,   20.2500, 21.270456,    32, 10000,    23,    14,
   44.5000,    0.0000,  -11.2500,   22.5000, 20.168167,    32, 10000,    22,    12,
   46.0000,    0.0000,  -12.3750,   24.7500, 17.884420,    32, 10000,    21,    10,
